"gene_id","transcript_id","IND01_BA10","IND02_BA10","IND03_BA10","IND04_BA10","IND05_BA10","IND01_BA24","IND02_BA24","IND03_BA24","IND04_BA24","IND05_BA24","IND01_BA46","IND02_BA46","IND03_BA46","IND04_BA46","IND05_BA46","IND01_BA9","IND02_BA9","IND03_BA9","IND04_BA9","IND05_BA9","IND01_caud","IND02_caud","IND03_caud","IND04_caud","IND05_caud","IND01_cbm","IND02_cbm","IND03_cbm","IND04_cbm","IND05_cbm","IND01_TCX","IND02_TCX","IND03_TCX","IND04_TCX","IND05_TCX"
"ENSG00000198822","tx2",14092.65171,16782.02719,20238.97455,16956.7611,22841.68128,14964.81598,14630.95357,19571.64665,24840.16156,17007.20016,15707.68766,14903.47736,17370.4735,16403.28644,17684.91589,20962.95462,21472.25678,25982.27738,19047.14874,23598.35143,17128.05746,16157.80547,15213.60244,12233.49203,22634.5697,17981.28103,9922.605724,13136.32937,15426.34007,15045.73366,17229.0868,14516.3248,21625.32013,10807.34528,17527.71803
"ENSG00000198822","tx4",21252.58545,9774.468394,16413.61557,7393.31045,11805.37618,15933.85586,15457.9853,15831.10756,11273.48251,7030.751829,18739.87987,18696.78811,14814.25814,8516.332289,13334.27656,25509.2708,14230.59671,16792.59329,10471.18029,8920.044587,19837.40796,17616.73556,14695.13481,7206.268332,7799.342706,10019.13516,7669.941869,9720.911269,6136.6766,5391.66439,23478.81299,12582.50114,26518.92051,7839.876256,9306.842026
"ENSG00000198822","tx6",15045.39674,15363.20831,11999.10196,11612.2827,15219.96036,10453.70547,10693.81256,17562.55848,7953.836625,14099.94562,16708.83062,12803.11511,13544.46459,13588.70234,17503.58843,12765.91603,14237.10371,12743.67094,12607.0803,13797.08829,28529.92592,14512.12408,14587.74799,9886.907461,16898.38249,14434.69171,13079.78933,9961.062464,10111.31632,14195.2203,17267.88467,15132.17012,12845.39986,14893.6558,15480.57352
"ENSG00000198822","tx7",34345.65657,20054.57214,29853.47215,29846.34733,18813.04549,49212.56975,36447.85574,41337.25051,26457.86145,31201.1874,32897.91419,33180.97138,21627.52118,25596.25825,17680.24041,32223.01678,23868.5116,32919.58368,16996.94202,19225.92682,73697.87796,43451.56032,27594.60127,21071.27543,25534.28069,28007.93532,25713.14273,28117.94826,8315.071644,21628.00101,37134.57258,20870.81222,44711.29554,28498.30955,35860.15828
"ENSG00000198822","tx9",63603.11461,30970.01329,40413.89252,26811.0486,49206.211,59869.27748,52456.62239,62513.5426,12078.40388,47684.75162,70690.94918,50397.22328,44498.92176,28611.91421,38434.10322,47335.52561,65793.94517,54386.08771,24803.53828,42460.78315,86951.54206,45267.89733,41981.82694,19719.67717,23430.12895,44183.20333,41468.13355,46506.72453,27151.39915,35320.32081,70595.77177,29887.97898,65856.52024,16112.21833,47859.26484
"ENSG00000055955","ENST00000266041",21341.39887,27634.19996,30854.5405,99061.31664,0,9522.552836,30675.40709,10478.03624,124514.6614,34953.01044,39076.44961,31789.43978,51389.48399,78166.88616,19401.36174,32464.81745,25041.7087,36201.4315,61916.42287,42426.16772,45607.77953,24611.68834,17824.0295,110339.7777,NA,9869.836556,14705.05871,8596.868714,23244.99247,20523.90683,35585.93464,19936.53181,33230.07871,89792.56341,61620.27573
"ENSG00000055955","ENST00000406595",55532.70321,35196.7389,48493.55968,92728.84259,84185.76368,85343.77222,76418.82198,74984.05876,126839.7062,99416.22974,52234.87589,48564.13411,62938.93208,115488.6454,115125.6436,52047.77368,83379.3055,100259.8463,99494.85971,58443.81788,80845.91342,67725.50645,92720.53345,51917.17794,NA,45922.84713,29324.31804,38898.41135,31400.78706,67516.2397,58172.70061,92855.63685,83814.29361,73783.71938,27114.36758
"ENSG00000055955","ENST00000485816",8671.455577,0,8522.205747,29540.32329,1062.597371,0,0,618.570159,1072.624323,4305.681857,13782.01008,641.037488,0,997.4128768,25701.87957,35972.0286,1875.271661,831.606988,21973.79107,9359.837991,0,5286.322794,0,51781.36663,NA,5064.260894,1502.680634,1847.295823,1895.521403,2519.022461,8126.391193,0,482.7077849,1044.874715,539.9029836
"ENSG00000055955","ENST00000491663",177366.0996,71581.0133,203487.9616,136838.6214,175135.044,166974.148,137972.2058,152410.2646,175423.6405,206468.1615,135776.7438,140994.981,147300.606,138704.9008,105964.588,25133.98594,82436.56528,93566.27377,205741.1368,173683.0383,190545.5991,101600.6109,169830.3251,112537.3969,NA,128860.0687,75847.83482,100345.8946,168453.6669,147500.9137,168704.2418,146154.0569,178368.4398,123455.0846,285098.0913
"ENSG00000055955","tx1",19531.69502,4311.038302,702.5347737,18914.54993,0,0,3490.553897,641.6661227,9602.00442,31895.06939,3388.212136,4068.528703,5663.014425,13600.78082,1194.510282,3968.470028,2549.835462,1485.541266,10660.79968,7278.79056,10789.78734,1470.332366,13903.42322,18980.83228,NA,10135.98386,1444.289397,5240.316775,9422.191943,0,22019.60791,1988.050117,2971.818174,13367.0967,3303.9131
